PackageName;minimal;Default;Business;Full;Tablet;Education
firefox;;;;WAHR;;
googlechrome;;;;WAHR;;
tor-browser;;;;WAHR;;
;;;;;;
adobereader;;;;;;
audacity;;;WAHR;WAHR;;WAHR
cdburnerxp;;;;WAHR;;WAHR
freemind;;;;;;
freeplane;;WAHR;;WAHR;WAHR;WAHR
gimp;;;;;;
irfanview;;;;;;
irfanviewplugins;;;;;;
k-litecodecpackfull;;;;;;
k-litecodecpackmega;;;;WAHR;;
paint.net;;WAHR;WAHR;WAHR;WAHR;WAHR
pdf24;;WAHR;;WAHR;WAHR;
pdfxchangeeditor ;;WAHR;;WAHR;WAHR;
vlc;;WAHR;;WAHR;WAHR;
xnviewmp.install;;;;;;
captura;;;;;;
;;;;;;
7zip.install;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
ant-renamer;;;;WAHR;;
baretail;;;;WAHR;;
ccenhancer;;;;;;
ccleaner;;;;;;
cpu-z.install;;;;WAHR;;
crystaldiskinfo;;;;WAHR;;
filezilla;;;;WAHR;;
freefilesync;;WAHR;WAHR;WAHR;;WAHR
greenshot;WAHR;WAHR;;WAHR;WAHR;
imdisk;;;;WAHR;;
mremoteng;;;;WAHR;;
nmap;;;;WAHR;;
notepad3.install;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
notepadplusplus.install;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
putty.install;WAHR;WAHR;WAHR;WAHR;WAHR;
procexp;;;;WAHR;;
processhacker;;;;WAHR;;
recuva;;WAHR;;WAHR;;
rufus;;;;WAHR;;
snaketail.install;;;;WAHR;;WAHR
sysinternals;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
teracopy;;;;WAHR;;
treesizefree;WAHR;WAHR;WAHR;WAHR;;WAHR
veracrypt;;WAHR;WAHR;WAHR;;WAHR
keepassxc;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
keepass.install;;;;;;
keepass-keepasshttp;;;;;;
keepass-langfiles;;;;;;
virtualbox;;;WAHR;WAHR;;WAHR
vscode;;;;WAHR;;WAHR
vscode-powershell;;;;WAHR;;WAHR
wim2vhd;;;;WAHR;;
winmerge;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
wireshark;;;;WAHR;;
;;;;;;
adobeair;;;WAHR;WAHR;;WAHR
ChocolateyGUI;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
flashplayeractivex;;;;;;
flashplayerplugin;;;;;;
flashplayerppapi;;;;;;
javaruntime;;;;;;
jdk8;;;;;;WAHR
jdk11;;;;;;WAHR
powershell-core;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
pscx;;;;;;
silverlight;WAHR;WAHR;WAHR;WAHR;;WAHR
;;;;;;
;;;;;;
dotnetfx;WAHR;WAHR;WAHR;WAHR;WAHR;WAHR
dotnet4.7.2;;;;;;
vcredist140;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2005;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2008;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2010;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2012;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2013;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2015;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist2017;WAHR;WAHR;WAHR;WAHR;;WAHR
vcredist-all;WAHR;WAHR;WAHR;WAHR;;WAHR
;;;;;;
;;;;;;
;;;;;;
;;;;;;
bitnami-xampp;;;;;;WAHR
blender;;;;;;WAHR
bluej;;;;;;WAHR
dia;;;;;;WAHR
geogebra6;;;;;;WAHR
ghostscript.app;;;;;;WAHR
git.install;;;;;;WAHR
inkscape;;;;;;WAHR
mysql.workbench;;;;;;WAHR
netbeans;;;;;;WAHR
netbeans-jee;;;;;;WAHR
nodejs.install;;;;;;WAHR
php;;;;;;WAHR
python;;;;;;WAHR
yed;;;;;;WAHR
